1	Bulbasaur	90	118	59																						
2	Ivysaur		116	90	118																						
3	Venusaur	47	296	116	90																					
4	Charmander	24	102	101																						
5	Charmeleon	24	102	115																						
6	Charizard	270	103	298	24	83																				
7	Squirtle	58	105	57																						
8	Wartortle	107	39	57																						
9	Blastoise	299	135	36	39																					
10	Caterpie	133																								
11	Metapod	133																								
12	Butterfree	108	99	49																						
13	Weedle	133																								
14	Kakuna	133																								
15	Beedrill	90	100	45																						
16	Pidgey	45	121	80																						
17	Pidgeotto	45	121	80																						
18	Pidgeot	256	122	25	121																					
19	Rattata	129	131	26																						
20	Raticate	14	129	26																						
21	Spearow	257	38	45																						
22	Fearow	257	46	45	80																					
23	Ekans	92	90	50	13																					
24	Arbok	92	91	16																						
25	Pikachu	78	251	79	35																					
26	Raichu	78	251	77	123																					
27	Sandshrew	64	26	258	63																					
28	Sandslash	31	95	63																						
29	Nidoran	90	131	50																						
30	Nidorina	90	50	26																						
31	Nidoqueen	32	91	31																						
32	Nidoran	90	131	126																						
33	Nidorino	90	126	26																						
34	Nidoking	91	22	31																						
35	Clefairy	87	131	84																						
36	Clefable	87	301	108	86																					
37	Vulpix	24	131	101																						
38	Ninetales	270	103	24	42	116	60																			
39	Jigglypuff	88	86	131	267	84																				
40	Wigglytuff	14	88	86	39																					
41	Zubat	90	121	50	125																					
42	Golbat	70	121	50	69																					
43	Oddish	90	87	59																						
44	Gloom	47	90	87																						
45	Vileplume	47	116	87																						
46	Paras	100	59	89																						
47	Parasect	116	100	89																						
48	Venonat	99	50	30																						
49	Venomoth	108	49	50	262																					
50	Diglett	96	26	63																						
51	Dugtrio	32	31	96																						
52	Meowth	280	131	16	51																					
53	Persian	280	88	65	51																					
54	Psyduck	28	58	30																						
55	Golduck	107	108	39																						
56	Mankey	28	123	56																						
57	Primeape	245	28	56																						
58	Growlithe	24	21	131																						
59	Arcanine	103	24	251	95	279																				
60	Poliwag	53	131	96																						
61	Poliwhirl	53	105	106	96																					
62	Poliwrath	135	246	54	33																					
63	Abra	70	60	99																						
64	Kadabra	70	86	30																						
65	Alakazam	275	108	247	70	86	115																			
66	Machop	28	123	56																						
67	Machoke	28	246	54	123																					
68	Machamp	245	32	28	246	268	54	64																		
69	Bellsprout	90	118	13																						
70	Weepinbel	90	118	59																						
71	Victreebel	116	90	117																						
72	Tentacool	53	105	13																						
73	Tentacruel	107	40	91																						
74	Geodude	64	63	26																						
75	Graveler	32	64	259	26																					
76	Golem	32	31	259	62																					
77	Ponyta	103	127	21	101																					
78	Rapidash	103	42	46																						
79	Slowpoke	108	60	105																						
80	Slowbro	108	39	105																						
81	Magnemite	79	35	72																						
82	Magneton	252	36	35	72																					
83	Farfetchd	117	45	121																						
84	Doduo	26	38	45	125																					
85	Dodrio	256	38	45	121																					
86	Seel	58	248	57	111																					
87	Dewgong	40	248	105	111	57																				
88	Grimer	90	18	96																						
89	Muk	92	91	16	77																					
90	Shellder	53	105	111																						
91	Cloyster	40	107	254	248	111																				
92	Gastly	90	265	16	69																					
93	Haunter	90	70	67	16																					
94	Gengar	90	91	247	70	16																				
95	Onix	32	64	268	74	258																				
96	Drowzee	108	60	30																						
97	Hypno	275	108	247	70	60																				
98	Krabby	53	105	20																						
99	Kingler	100	105	20																						
100	Voltorb	79	35	99	267																					
101	Electrode	14	79	35																						
102	Exeggcute	108	59																							
103	Exeggutor	116	108	59																						
104	Cubone	94	95	26																						
105	Marowak	31	94	26																						
106	Hitmonlee	245	32	127	123	56																				
107	Hitmonchan	245	123	33	77	115																				
108	Lickitung	14	127	118																						
109	Koffing	90	18	16																						
110	Weezing	90	70	79	16																					
111	Rhyhorn	127	95	126																						
112	Rhydon	32	22	31	284																					
113	Chansey	14	108	86	30																					
114	Tangela	116	118	272	90																					
115	Kangaskhan	127	31	277	123	279																				
116	Horsea	36	53	82																						
117	Seadra	107	40	82	248																					
118	Goldeen	58	105	126																						
119	Seaking	22	46	39	105	111																				
120	Staryu	53	65	125																						
121	Starmie	107	108	78	65	39	30																			
122	MrMime	108	70	30																						
123	Scyther	100	49	45	51																					
124	Jynx	247	254	33	60	85																				
125	Electabuzz	78	79	77																						
126	Magmar	103	24	115																						
127	Pinsir	245	100	54	20																					
128	Tauros	31	74	126																						
129	Magikarp	133																								
130	Gyrados	107	277	82	279	80																				
131	Lapras	40	107	284	39	82																				
132	Ditto	133																								
133	Eevee	300	131	125																						
134	Vaporeon	107	58	105																						
135	Jolteon	78	79	35																						
136	Flareon	270	103	24	42																					
137	Porygon	14	252	116	35	99	30																			
138	Omanyte	104	259	53	63	62																				
139	Omastar	107	64	259	62																					
140	Kabuto	63	62	57																						
141	Kabutops	32	105	62																						
142	Aerodactyl	14	64	74	62																					
143	Snorlax	14	31	268	131	277																				
144	Articuno	40	122	39	111																					
145	Zapdos	78	252	79	35																					
146	Moltres	270	257	103	24	42																				
147	Dratini	58	13	80																						
148	Dragonair	82	58	13																						
149	Dragonite	285	122	14	83	277	82																			
150	Mewtwo	108	247	14	70	79	24	39																		
151	Mew	32	108	40	78	247	270	14	284	36	116	272	251	79	64	83	60	86	39	16	267	273	95	56	62	101
